スポット
レゴランド・ディスカバリー・センター東京
浅草寺
東京スカイツリー
マクセル アクアパーク品川
東京タワー
羽田空港（東京国際空港）
東京ドーム天然温泉 スパ ラクーア
東京駅
サンシャイン水族館
東京ソラマチ
すみだ水族館
アメ横
上野動物園
歌舞伎座
靖国神社
サンリオピューロランド
日本武道館
お台場
明治神宮
日枝神社
築地場外市場
国立科学博物館
浅草花やしき
新宿御苑
高尾山
東京国立博物館
東京豊洲 万葉倶楽部
しながわ水族館
深大寺
増上寺
遊園地よみうりランド
国立新美術館
東京ドーム
明治神宮外苑
神田神社（神田明神）
三越日本橋本店
根津神社
上野恩賜公園
穴守稲荷神社
東京大神宮
国営昭和記念公園
東京都庁舎展望室
皇居外苑
泉岳寺
ダイバーシティ東京 プラザ
日原鍾乳洞
井の頭恩賜公園
水天宮
秋川渓谷 瀬音の湯
北の丸公園
花園神社
東京国際フォーラム
日本科学未来館
六義園
日比谷公園
小石川後楽園
国立国会図書館
東京ドームシティ アトラクションズ
日本橋
波浮港
池上本門寺
東京ミッドタウン
築地本願寺
三菱一号館美術館
椿山荘 庭園
サンシャインシティ
お台場海浜公園
東京都葛西臨海水族園
湯島天満宮
原宿竹下通り
浜離宮恩賜庭園
恵比寿ガーデンプレイス
明治座
国会議事堂
小網神社
浅草文化観光センター
八王子城跡
